Food,Ayurvedic_Taste
Moong bean dosa (Pesarattu),Astringent (Kashaya)
Moong dal mixture,Astringent (Kashaya)
Vegetable yakhni,Sweet (Madhura)
Baked potato soup,Sweet (Madhura)
Makki ki roti,Sweet (Madhura)
Creamy chicken,Sweet (Madhura)
Vegetable soup,Sweet (Madhura)
Minestrone soup,Sweet (Madhura)
Black rice kheer (Chak-hao kheer),Sweet (Madhura)
Paneer makhana korma,Sweet (Madhura)
Baked vegetables,Sweet (Madhura)
Brinjal pickle (Baingan ka achaar),Sour (Amla)
Rice kheer (Chawal ki kheer),Sweet (Madhura)
Chicken sandwich,Sweet (Madhura)
Hot tea (Garam Chai),Sweet (Madhura)
Dessicated coconut chutney (Sookhe kase nariyal ki chutney),Sour (Amla)
Semolina upma (Suji/Rava upma),Sweet (Madhura)
Panchmel dal,Astringent (Kashaya)
Thickened sweetened milk (Rabri),Sweet (Madhura)
"Pickles, cucumber, dill or kosher dill",Sour (Amla)
"Onion rings, breaded, par fried, frozen, prepared, heated in oven",Pungent (Katu)
Spinach chickpeas cutlet (Palak channa dal cutlet),Bitter (Tikta)
Mixed vegetable pulao,Sweet (Madhura)
Keema kofta curry,Sweet (Madhura)
Jowar dosa,Sweet (Madhura)
Butter chicken,Sweet (Madhura)
Instant coffee,Sweet (Madhura)
Lobia curry,Sweet (Madhura)
Raspberry shortbread cookies,Sweet (Madhura)
Spinach mutton (Palak mutton),Bitter (Tikta)
Mango milkshake with ice cream (Aam milkshake ice creamÂ keÂ saath),Sweet (Madhura)
Garlic soup,Pungent (Katu)
Eggplant/Brinjal rice (Vangi bhat),Sweet (Madhura)
Mutton korma,Sweet (Madhura)
Gulab jamun with milk powder,Sweet (Madhura)
Lemon coriander soup,Sour (Amla)
Pasta cheese sauce,Salty (Lavana)
Lentil soup,Astringent (Kashaya)
Peanut chutney (Mungfali ki chutney),Sour (Amla)
Dry mango chutney (Sookhe aam ki chutney),Sour (Amla)
Mexican rice,Sweet (Madhura)
Dal stuffed poori,Astringent (Kashaya)
Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),Sweet (Madhura)
Cream of mushroom soup,Sweet (Madhura)
"Flour, rice, white, unenriched",Sweet (Madhura)
Beans and macaroni,Astringent (Kashaya)
Vegetable curry with coconut,Sweet (Madhura)
Black channa curry/Bengal gram curry (Kale chane ki curry),Bitter (Tikta)
Vegetable upma,Sweet (Madhura)
Chicken lasagne,Sweet (Madhura)
Kashmiri tea (Kehwa),Sweet (Madhura)
Pea kofta curry (Matar kofta curry),Sweet (Madhura)
Pasta spinach sauce,Bitter (Tikta)
Paneer cutlet,Sweet (Madhura)
Coffee ice cream,Sweet (Madhura)
Hot and sour soup,Sweet (Madhura)
Apple oats chia seed smoothie,Sweet (Madhura)
Moong dal kheer,Astringent (Kashaya)
Kale salad,Bitter (Tikta)
Potato pickle (Aloo ka achaar),Sour (Amla)
Bread and butter pudding,Sweet (Madhura)
Whole moong (Moong ki dal),Astringent (Kashaya)
Cabbage kofta curry (Pattagobhi kofta curry),Sweet (Madhura)
Pumpkin soup,Sweet (Madhura)
"Flour, rice, glutinous",Sweet (Madhura)
Paneer patties,Sweet (Madhura)
"Tomatoes, grape, raw",Sweet (Madhura)
Pea curry (Matar ki sabzi),Sweet (Madhura)
Oats burfi,Sweet (Madhura)
Split bengal gram dal (Channa dal),Astringent (Kashaya)
"Carrots, frozen, unprepared (Includes foods for USDA's Food Distribution Program)",Sweet (Madhura)
Raw banana kofta curry (Kela kofta curry),Sweet (Madhura)
Masala dosa,Pungent (Katu)
Egg and tomato sandwich (Ande aur tamatar ka sandwich),Sweet (Madhura)
"Broccoli, raw",Sweet (Madhura)
Cauliflower kofta curry (Phoolgobhi kofta curry),Sweet (Madhura)
Cracked wheat porridge (Meetha daliya),Astringent (Kashaya)
"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",Sweet (Madhura)
Green chutney,Sour (Amla)
Garlic chutney/Poondu chutney (Lahasun ki chutney),Sour (Amla)
Chapati/Roti,Sweet (Madhura)
Sauteed radishes with green beans,Astringent (Kashaya)
Spaghetti and cheese balls in tomato sauce,Salty (Lavana)
Potato curry (Aloo ki sabzi),Sweet (Madhura)
Pasta hot pot,Sweet (Madhura)
"Paneer, apple and pineapple salad",Sweet (Madhura)
Cucumber and yogurt salad (Kheere aur dahi ka salad),Sour (Amla)
Gooseberry pickle (Amla ka achaar),Sour (Amla)
Tamarind rice (Chintapandu pulihora/Puliyodharai/Puli sadam/Huli anna),Sour (Amla)
Pea paneer curry (Matar paneer),Sweet (Madhura)
Frozen frosty fruit salad (Phalon ka salaad),Sweet (Madhura)
Millet soup,Sweet (Madhura)
Poha with curd (Poha aur dahi),Sour (Amla)
Chicken pulao,Sweet (Madhura)
Pickled mustard greens,Sour (Amla)
Kabuli channa curry,Astringent (Kashaya)
Rice dal porridge (Chawal dal ki khichdi/khichri),Astringent (Kashaya)
"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",Sweet (Madhura)
Spinach kofta curry (Palak kofta curry),Bitter (Tikta)
Mulligatawny soup,Sweet (Madhura)
Home made plain noodles,Sweet (Madhura)
Kadhai Paneer,Sweet (Madhura)
"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",Sweet (Madhura)
Mint and coriander chutney (Pudinay aur dhaniye ki chutney),Sour (Amla)
Vermicelli porridge (Semiya/Seviyan porridge),Sweet (Madhura)
Moong dal with vadi,Astringent (Kashaya)
Raw mango chutney (Kachhe aam/Kairi ki chutney),Sour (Amla)
Tamarind chutney (Chintapandu pachadi/Puli chutney),Sour (Amla)
Lentils and semolina porridge (Dal suji porridge/daliya),Astringent (Kashaya)
"Egg, white, dried",Sweet (Madhura)
Tossed salad,Sweet (Madhura)
Ham and Bean soup,Astringent (Kashaya)
Flattened rice cutlet (Chirwa cutlet/Chivda cutlet/Poha cutlet),Sweet (Madhura)
Roast chicken,Sweet (Madhura)
Lasagne with vegetables,Sweet (Madhura)
Pea potato curry (Aloo matar),Sweet (Madhura)
Pasta salad,Sweet (Madhura)
Methi malai paneer,Sweet (Madhura)
Orange gateau,Sweet (Madhura)
Cheese soup,Sweet (Madhura)
Classic italian pasta,Sweet (Madhura)
Fried Egg,Sweet (Madhura)
Mango milkshake (Aam milkshake),Sweet (Madhura)
Kidney bean curry (Rajmah curry),Astringent (Kashaya)
Semolina porridge (Suji/Rava daliya),Astringent (Kashaya)
Mutton do piaza,Sweet (Madhura)
Pineapple milkshake (Ananas milkshake),Sweet (Madhura)
Almond soup (Badam ka soup),Sweet (Madhura)
Bread pakora/pakoda,Sweet (Madhura)
Meat consomme (with mutton),Sweet (Madhura)
Tomato puree,Sweet (Madhura)
Onion chutney (Pyaaz ki chutney/Vengaya chutney),Sour (Amla)
Rice flakes (Chiwda/Aval),Sweet (Madhura)
Paneer shaslik/tikka,Sweet (Madhura)
Iced tea,Sweet (Madhura)
French onion soup,Pungent (Katu)
Paneer parantha/paratha,Sweet (Madhura)
"Sausage, Italian, pork, mild, cooked, pan-fried",Sweet (Madhura)
"Yogurt, Greek, plain, nonfat",Sour (Amla)
Pea mushroom curry (Matar mushroom),Sweet (Madhura)
Besan and spinach parantha/paratha (Besan aur palak ka parantha/paratha),Bitter (Tikta)
"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",Sweet (Madhura)
Baked brinjal in tomato sauce,Salty (Lavana)
Talaumein soup,Sweet (Madhura)
Instant idli (with semolina),Sweet (Madhura)
Garlic chickpea soup (Lahasun aur chane ka shoraba),Pungent (Katu)
Onion tomato baghar (Pyaaz tamatar ka tadka),Pungent (Katu)
Minced meat ball curry,Sweet (Madhura)
"Flour, rice, brown",Sweet (Madhura)
Cracked wheat and green gram dal premix (Dalia moong dal premix),Astringent (Kashaya)
"Carrots, frozen, unprepared",Sweet (Madhura)
Walnut chutney (Akhrot ki chutney),Sour (Amla)
Lentils and wheat porridge (Dal wheat porridge/daliya ),Astringent (Kashaya)
Chilli chicken,Pungent (Katu)
"Cheese, ricotta, whole milk",Sweet (Madhura)
Prawn curry (with coconut) (Jhinga curry),Sweet (Madhura)
Semolina dosa (Suji/Rava dosa),Sweet (Madhura)
Horsegram dal (Kulthi dal),Astringent (Kashaya)
Jellied sunshine fruit salad,Sweet (Madhura)
"Grapefruit juice, white, canned or bottled, unsweetened",Sweet (Madhura)
Pea parantha/paratha (Matar ka parantha/paratha),Sweet (Madhura)
Spinach and paneer souffle,Bitter (Tikta)
Mixed vegetable pickle (Sabziyoon ka achaar),Sour (Amla)
Potato kofta curry (Aloo kofta curry),Sweet (Madhura)
Soya roti,Sweet (Madhura)
Chicken manchurian,Pungent (Katu)
Vegetable stock,Sweet (Madhura)
Cold cucumber soup (Thanda kheere ka soup),Sweet (Madhura)
"Flour, bread, white, enriched, unbleached",Sweet (Madhura)
Fish orly,Sweet (Madhura)
"Yogurt, Greek, strawberry, nonfat",Sour (Amla)
Sweetened yogurt (Shrikhand),Sour (Amla)
Maize porridge,Sweet (Madhura)
Dalma,Astringent (Kashaya)
Cornflakes with milk,Sweet (Madhura)
Saunth/Sonth chutney with tamarind/imli,Sour (Amla)
"Bread, whole-wheat, commercially prepared",Sweet (Madhura)
Chicken sandwich (toasted),Sweet (Madhura)
Cream of tomato soup,Sweet (Madhura)
Sprouts upma,Sweet (Madhura)
Classic seasoned black beans,Astringent (Kashaya)
